id,name,big_sort,small_sort,address,latitude,longitude,cluster,tags,star_info,star_rating,review_sample,wordcloud
34,Bugaksan Seoul Fortress,Sights & Landmarks,,,37.5956,126.9813,1.0,"[""great view"", ""crowded"", ""a few hours"", ""mountain""]","{""5"":65.0,""4"":27.0,""3"":8.0,""1"":0.0,""2"":0.0,""avg"":4.57,""count"":26.0}",0.91,"{""neg"": [], ""pos"": [""Bring your passport, wear comfortable clothes (best not to wear jeans and dresses/skirts) and a good pair of walking/hiking shoes"", ""Depending on the route you take, it might be useful for you to bring a hiking pole as a certain section of the trek would be rather steep"", ""The strategic importance of the commanding heights cause the ROK army to be on trail maintenance duty so the developed trail is about as pristine as I have ever seen"","" No reservation required so just show up!there's a cut-off in terms of time so make sure you make it in time to enter the secured area"", ""I think getting to the secured area on foot from Hansung University station is another 2""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB02E80>
35,Korean Postage Stamp Museum,Museums,,,37.5615577,126.98213670000001,1.0,[],,0.0,"{""neg"": [""We were just on our way to Myeongdong again; we seemed to have come here every day while we were in Korea and I saw this museum"", ""I wasn\u2019t disappointed because we didn\u2019t know we were going to come here"", ""Although it was informative the museum organization was better suited for small children""], ""pos"": [""I could have stayed cla bit longer but I have to keep the wife happy"", ""Had this been a sports cards museum, I would have been super excited and other people might think it is so boring so we all have our own preferences"", ""The miniature exhibition of the various parts of the Korean Postal service was fascinating""]}",
36,Star Avenue at Lotte World,Water & Amusement Parks,,,37.5112348,127.098027,2.0,[],,0.0,"{""neg"": [""Some \""hands\"" were not working anymore though"", ""We felt that we wasted our money"", ""we were a little disappointed because we thought it was a big place but not at all""], ""pos"": [""memorabilias, we had our little dubbing experience for You are beautiful, we had our compatability test with our favorite Suju members and we"", ""We spent for a 15 minute of enjoyment"", ""If you touch them, the screen will show a short clip of that idol""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB02D68>
37,Migliore Dongdaemun Shop,Shopping,,,37.568063,127.008477,1.0,"[""crowded"", ""expensive"", ""reasonable""]","{""3"":33.0,""4"":29.0,""5"":19.0,""1"":13.0,""2"":6.0,""avg"":3.34,""count"":52.0}",0.67,"{""neg"": [""Good for shopping open from 10:30am to 04:30amSome of the seller may give you feelings like \"" you don't buy, you don't touch\"""", ""They may have more range in nice styles of clothes but prices are a little higher above 30,000?""], ""pos"": [""Their B1 floor is stocked full of adorable baby and toddler clothes"", ""Try to ask for more discounts and you will be shooed off"", ""And the size is very limited The whole are in and around is very famous for shopping, again its not a cheap bargain and size is all for tiny people!!But they are very pushy""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB02A20>
38,Lotte Young Plaza Myeongdong,Shopping,,,37.5634661,126.98150600000001,1.0,"[""expensive"", ""restaurants"", ""walk around"", ""a few hours""]","{""4"":34.0,""3"":31.0,""5"":22.0,""1"":9.0,""2"":3.0,""avg"":3.54,""count"":32.0}",0.71,"{""neg"": [""Quite a good idea to rejuvenate shopping mall business with target customer groups as young people, and attract lots of youngsters coming from online to offline reality"", ""There is the Lotte Cinema right next door so guys if you hate shopping and want to kill 2 hours, you have a great way to kill some time"", ""Additionally, I saw some BTS merch on one of the higher levels next to the bubble tea shop""], ""pos"": [""Nanings 9, Pigment, cosmetics 3CE counter accessories, "", ""They also have the older ones which the UM shops don't have as well as signed albums""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB02908>
39,D Museum,Museums,,,37.537029600000004,127.01141000000001,0.0,"[""restaurants""]",,0.0,"{""neg"": [""I\u2019d say the customers coming into the museum were 85% female and 15% male (the guys seemed like they were dragged there by the girlfriends)""], ""pos"": [""The museum was really great and I wish I had more time to look around without having to wait on the crowds of people"", ""It was thoroughly enjoyable and well curated"", ""Seeing that I was carrying a heavy bag, one of the staff shared about their free locker service which was very helpful""]}",
40,Yongsan Family Park,Nature & Parks,,,37.5216852,126.98397,0.0,"[""crowded"", ""cherry blossom"", ""a few hours"", ""nature"", ""walk around""]",,0.0,"{""neg"": [""There's nothing much except the museum around, visitors aren't that many""], ""pos"": [""There's a nice playground for children too or lots of quiet space for those wanting to read a book, write or just enjoy quiet time"", ""A great way to spend an hour each day either with lots of walking around amidst fresh air or keep trim with exercisers"", ""Would be perfect if there is a refreshment area for cold drinks and food to satiate thirst after long walks""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB026D8>
41,Gilsangsa Shrine,Sights & Landmarks,,,37.5991321,126.9942654,1.0,[],,0.0,"{""neg"": [""Entering in through the front gate our eyes were immediately drawn to the rows and rows of colourful lanterns hanging over a large amount of the outside space"", ""The temple was founded only recently in 1997 yet we imagined it had been here for much longer""], ""pos"": [""The grounds were very peaceful and relaxing"", ""The temple offers a range of Buddhist programs, mediation classes and temple stays""]}",
42,Statue of Gangnam Style,Sights & Landmarks,,,37.51168500000001,127.059339,2.0,"[""walk around""]",,0.0,"{""neg"": [""Foreign visitors liked it anyway""], ""pos"": [""Local people who know the history don't like it since its construction process was controversial"", ""A trendy landmark of seoul that if you have enough time you must visit it"", ""It reminds how world wide big hit the song was""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB02390>
43,Shinsegae Gangnam,Shopping,,,37.5041299,127.003069,0.0,"[""restaurants"", ""easy to navigate""]",,0.0,"{""neg"": [""I'm not sure the name of the mall though, it might be several malls interconnected (It might be part of the GoTo mall), but it all connects to the Express Bus Station"", ""There's some other neat stuff there, but definitely try the cheese tarts if that's something that might interest you""], ""pos"": [""It has added a ton of branded kiosks in the basement area that were previously other non-Shinsegae retail and food"", ""One more suggestion - do not take a cab or drive here!The 3, 7, 9 lines all stop here, and it's easy to transfer from the 4 (which stops at Myeungdong and Seoul Station) to the 7 at Isu Junction"", ""There's a big parking lot below this massive complex, but it adds stress, aggravation, and time to the whole experience""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AB02160>
44,Dongdaemun Gate (Heunginjimun),Sights & Landmarks,,,37.5711295,127.00968700000001,1.0,"[""night view""]","{""4"":51.0,""3"":29.0,""5"":18.0,""1"":1.0,""2"":1.0,""avg"":3.84,""count"":120.0}",0.77,"{""neg"": [""Outback there serves Korean style dishes, interesting!Quite similar to Namdaemun (southern gate of Seoul), this gate is a nice piece of Korean traditional architecture"", ""We went in the evening the gate was closed""], ""pos"": [""It\u2019s magnificent structure grace Seoul's skyline amid the modern bldg""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87710>
45,I-Park Mall,Shopping,,,37.5288539,126.964044,0.0,"[""expensive"", ""restaurants"", ""easy to navigate""]","{""4"":58.0,""3"":19.0,""5"":19.0,""1"":4.0,""2"":0.0,""avg"":3.88,""count"":26.0}",0.78,"{""neg"": [""Went here to check out the electronics market"", ""Interesting place if you have got a couple of hours to kill"", ""Here you can watch a movie at CGV or do some discounted shopping at EMART or eat and shop at the numerous other places""], ""pos"": [""Of particular note, there is a store dedicated to Gundam"", ""The whole facility is clean and modern, and people are courteous although not everyone spoke English""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87978>
46,National Hangeul Museum,Museums,,,37.5238506,126.98047,0.0,"[""a few hours"", ""free entry""]","{""3"":36.0,""4"":36.0,""5"":25.0,""2"":4.0,""1"":0.0,""avg"":3.85,""count"":28.0}",0.77,"{""neg"": [""However, there is not a single word of English to describe anything so that we could also appreciate the exhibit or to have some clue of how the language was developed in the 14th century"", ""For me with no knowledge of Korean it was slightly boring"", ""Only disappointment was the fact the gift shop did not stock anything meaningful to buy""], ""pos"": [""The whole exhibit of the museum is dedicated to the development of the Korean language"", ""Until this alphabet was introduced the Korean language writing was represented by Chinese characters, thus limiting writing and reading to an elite few"", ""I must admit I was really surprised about how well everything was presented and the tour guide was really helpful""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87F98>
47,Kwanghee Fasion Mall,Shopping,,,37.5686956,127.011812,1.0,[],,0.0,"{""neg"": [""Firstly we got here at the wrong time"", ""The mall doesnt open until 8pm""], ""pos"": []}",
48,Tourist Information Center of Korea Tourism Organization,Traveler Resources,,,37.5684894,126.981613,1.0,"[""a few hours"", ""crowded"", ""traditional dress"", ""free guided tour"", ""easy to navigate""]","{""5"":50.0,""4"":29.0,""3"":17.0,""1"":4.0,""2"":0.0,""avg"":4.21,""count"":24.0}",0.84,"{""neg"": [""To be honest if you want to impress and attract tourists as the purpose of this centre, please hire staffs who can give good impression"", ""The much needed brochures and maps are here"", ""Recommend biz tourists near Gwanghwamoon area who do not have much time to look aroud Seoul or Korea""], ""pos"": [""What many visitors seem to enjoy the most is the opportunity to try on some traditional Korean garb and pose for pictures"", ""They were friendly and helpful, then suddenly the employee I was speaking to suggested I go to the elevator, go down to the first floor and leave the building""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87FD0>
49,Hongik University,Sights & Landmarks,,,37.55097689999999,126.9257,3.0,"[""restaurants"", ""crowded"", ""walk around"", ""a few hours""]","{""5"":40.0,""3"":30.0,""4"":25.0,""2"":5.0,""1"":0.0,""avg"":4.0,""count"":20.0}",0.8,"{""neg"": [""I actually found myself here by accident the first time since I'd come to visit a nearby cafe and then realised where I was - and it was a Saturday night which made it even better""], ""pos"": [""They can tell you the best places to eat and shop, but be patient sometimes they will not be able to understand you, especially if you have a thick accent"", ""Loads of future K-pop, b-boys and Bbongjjak superstars are practicing on the street, including the obligatory screaming teenage girls""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87438>
50,Seoul Museum of Art,Museums,,,37.564262899999996,126.974675,1.0,"[""free entry"", ""a few hours""]","{""4"":39.0,""5"":31.0,""3"":23.0,""2"":6.0,""1"":2.0,""avg"":3.94,""count"":62.0}",0.79,"{""neg"": [""I felt really sorry for the ushers in each exhibit room because they looked terribly bored for the lack of visitors to help or look at, and I caught one of them sleeping"", ""I thought that the reunification  exhibit lacked unity, sometimes lacked interpretability (in ODD abstract pieces paired with an OCCASIONAL lack of universal English descriptions, though "", ""The crowd seemed to be in the university age bracket; no kids yet""], ""pos"": [""And also the one pictured here suggesting the (visualized) possibility of the admittedly challenging reuni process by reference to/from Germany and pivot-compression muscle exercisers"", ""You can store your belongings in a locker before entering""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A874E0>
51,Dream Forest,Nature & Parks,,,37.5721241,126.97608400000001,1.0,"[""a few hours"", ""walk around""]",,0.0,"{""neg"": [], ""pos"": [""I recommend this place highly especially for families or with your special someone"", ""It's amazing that few people talk about this place"", ""It's a big park with a lot of grass, a hanok, a fountain, a museum for kids, a cafe, and the best part: an observation deck where you can get a great shot of Seoul""]}",
52,Jeongdong Observatory,Sights & Landmarks,,,37.499689700000005,126.978509,0.0,"[""great view""]",,0.0,"{""neg"": [""Although there is not much standing space when it is crowded and therefore not good to stay for long"", ""The coffee was also pretty decent, and the prices didn't seem to be inflated at all""], ""pos"": [""This coffee shop has great panoramic views over the Deoksugung Palace, with more modern buildings and mountains in the background""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87668>
53,The Story of King Sejong & The Story of Admiral Yi Sunshin,Museums,,,37.5721241,126.9760848,1.0,"[""free entry""]","{""5"":48.0,""4"":41.0,""3"":11.0,""1"":0.0,""2"":0.0,""avg"":4.37,""count"":27.0}",0.87,"{""neg"": ["" No fan of military history, I still became quickly engaged with the displays, which include his naval battles and the tactics used as well as weapons and artifacts used in battles"", ""Opening Hours 10am to 8pm daily""], ""pos"": [""Initially I only saw a long frame with loads of korean letters and words and wanted to leave""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A874A8>
54,Seoul National Cemetery,Sights & Landmarks,,,37.535323299999995,127.06418799999999,2.0,"[""a few hours"", ""cherry blossom"", ""Korean War"", ""Japanese Occupation""]",,0.0,"{""neg"": [""The sight is astounding and you don't feel like you're in the middle of a large metropolitan area""], ""pos"": [""You can go to the visitor's center if you like to check out books or get pamphlets to tell you who is buried there or just go right in and stroll around by yourself"", ""It's laid out beautifully with grave markers everywhere to commemorate soldiers from the Korean War"", ""It is a cemetery indeed but it is so well done that it shows a tremendous amount of respect to the diseased""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87470>
55,Seoul Plaza,Sights & Landmarks,,,37.555453799999995,126.97543300000001,1.0,"[""restaurants""]","{""4"":35.0,""5"":32.0,""3"":30.0,""2"":2.0,""1"":0.0,""avg"":3.94,""count"":40.0}",0.79,"{""neg"": [""In the winter, this lawn will be transformed to be ice skate rink"", ""\""According to the city, the concept here is intended to suggest that Seoul is a place where two individuals can co-exist\"""", ""I take my hat off for the staff for the respect they gave me and my family""], ""pos"": [""Edward was so helpful in accommodating me to my room"", ""Especially during warm seasons, almost each day it is possible to see something interesting in this location"", ""Had the pleasure of staying at this hotel for three days and would definitely stay there again""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x19949A87780>
56,Ttukseom Hangang Park,Nature & Parks,,,37.5761402,126.98697299999999,1.0,"[""restaurants"", ""easy to navigate""]",,0.0,"{""neg"": [""It has several facilities to chill"", ""We arrived early and the place was practically empty"", ""Even the other attractions are still closed""], ""pos"": [""You get your own tube ring, go up the hill, sit on the tube and slide down the snow"", ""- There are snack stands, restaurants, bicycle rentals and some other things to enjoy"", ""- The resting area below Cheongdamdaegyo Bridge is cool and good to stay during summer""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC160>
57,Seven Luck Casino Gangbuk Hilton,Casinos & Gambling,,,37.5633415,127.037102,1.0,"[""walk around"", ""a few hours"", ""crowded"", ""easy to navigate""]","{""2"":39.0,""1"":25.0,""3"":18.0,""4"":14.0,""5"":4.0,""avg"":2.33,""count"":28.0}",0.47,"{""neg"": [""The slot machines are so close each other so when it is crowed, the rude players without saying \""excuse' or \""sorry\"" just rudely passed by me"", ""The casino is quite small with about 2-3 dozen tables and the same number of slots""], ""pos"": [""This is crazy, if you are on the later end of the rotation the beer is warm and flat"", "" You need a mask to protect yourself"", ""I stayed for 4 hours one day but I had suffered to breathing and I lost my voice""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC128>
58,Unhyeongung,Sights & Landmarks,,,37.506237799999994,127.00503700000002,0.0,"[""traditional dress"", ""a few hours"", ""walk around"", ""easy to navigate""]","{""4"":50.0,""5"":29.0,""3"":19.0,""2"":2.0,""1"":0.0,""avg"":4.06,""count"":62.0}",0.81,"{""neg"": [""Pick up a leaflet at the entrance and you can guide your self around in less than an hour"", ""Nothing much going on (except some events on weekends)""], ""pos"": [""For me the real charm of the palace was the recreation in all the rooms of what life was like, with costumed models, furniture etc etc"", ""Nice little palace with a huge gingko tree greeting you upon entering the palace""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFCEF0>
59,Eungbongsan Mountain,Nature & Parks,,,37.5633415,127.03710249999999,1.0,"[""mountain"", ""a few hours""]",,0.0,"{""neg"": [], ""pos"": [""Nice views of the river and bridges though during the day the not very scenic industrial parts are evident too"", ""Visited during the day and it was not too challenging a climb from the subway station""]}",
60,Mecenatpolis Mall,Shopping,,,,,,"[""restaurants"", ""expensive""]",,0.0,"{""neg"": [""They're scattered all over the mall, however, all the cheap Korean restaurants seem to be concentrated in an alley on floor B1"", ""The mall itself is depressing, lots of concrete and a few interesting stores and eat places but really depressing""], ""pos"": [""It reminded me of old council flats built in the 1960's back in the UK"", ""I personally like to spend time here alone""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFCCC0>
61,Ansan Jarak-gil,Outdoor Activities,,,37.5022555,127.0303,0.0,"[""walk around"", ""mountain"", ""great view"", ""a few hours""]",,0.0,"{""neg"": [""Since this trail is locating on a high area, the way to starting point might be a bit tough for seniors"", ""We saw many seniors passing""], ""pos"": [""- It is said this is very beautiful during cherry blossoms in April"", ""We noticed an information board and map about the trail in Seodaemun Independence Park, the closest subway station is Dongnimmum (exit #5)"", ""Ansan Jarak-gil is a 7 kms circular walking trail located in Seodaemun-gu, the path was designed and created in 2013 suitable for strollers, wheelchairs, senior citizens, pregnant women and children""]}",
62,Seoul City Wall Museum,Museums,,,37.5560186,126.972102,1.0,"[""a few hours""]",,0.0,"{""neg"": [""Unless you are interested in the wall, then probably not worth a special trip but if you are in the area then drop in"", ""I looked for this as I explored the wall"", ""Once you step out of the museum, you will have a chance to walk along the Seoul City Wall too""], ""pos"": [""Helpful staff and a good map of the whole wall and the access points to walk it"", ""You will understand clearly about the structure of Seoul City Wall and how to built it"", ""Over 3 floors there is an entrance on the 3rd floor from near part of the wall (follow signs) and another door on the first floor at the building entrance""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC978>
63,Myeongdong Underground Shopping Center,Shopping,,,37.525582299999996,126.916458,3.0,"[""a few hours"", ""easy to navigate""]","{""4"":41.0,""3"":37.0,""2"":15.0,""5"":7.0,""1"":0.0,""avg"":3.4,""count"":27.0}",0.68,"{""neg"": [""There's just so much to see and remember, exercise self-control!The store owners are friendly, warm and welcoming"", ""They are more or less very similar- with many small shops selling clothes, bags, souvenirs, food, cafes, bakeries, etc, etc""], ""pos"": [""The underground shop is huge!Many shops selling apparels, souvenirs and lots more"", ""Don't forget to bring your shopping bag because most likely you'll gonna buy a lot of things"", ""Of course, the technique of bargain is essential here""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC748>
64,Ice Gallery,Shopping,,,37.55384069999999,126.980506,1.0,[],,0.0,"{""neg"": [""There is no information online that says it is closed or when it closed so unless they are just remodeling you will have to skip."", ""Although not a must-see attraction in Seoul, it is worth a look if you are in the Hongdae area and if your home country does not have a similar site."", ""It is hard, I guess, to have an ice-themed attraction in a building downtown somewhere, but the Ice Gallery in Seoul pulled it off quite nicely."", ""The lightning is nice as well, people of all ages will enjoy it, however I wish it were a little bigger or round walk."", ""This place is closed down now.""], ""pos"": [""On the same floor as the Trick Eye Museum and while -1 is a little cold, definitely worth a visit."", ""The interior has to be set below 5 degree to maintain the sculpture within."", ""Visiting the Ice Gallery is like walking in an ice box.""]}",
65,Kukkiwon World Taekwondo Headquarters,Museums,,,37.4900549,127.00076399999999,0.0,[],,0.0,"{""neg"": [""I got to see the talented competitors of all age groups from different nations participating""], ""pos"": [""Ppl on the property are friendly and helpful"", ""Definitely recommend A wonderful institute established by Kukkiwon to promote globally the Korean tradition of Taekwando"", ""Entry is freeSeeing the team training is one of the most impressive things for every sportsman""]}",
66,Culture Station Seoul 284,Sights & Landmarks,,"1, Tongil-ro, Jung-gu, Seoul 04509 South Korea",37.5560304,126.92843899999998,3.0,"[""restaurants"", ""a few hours"", ""easy to navigate""]","{""4"":53.0,""3"":25.0,""5"":18.0,""2"":4.0,""1"":0.0,""avg"":3.85,""count"":55.0}",0.77,"{""neg"": [""If you are around the station then head up to have a look at the outside of the old station"", ""It has been turned into an Art gallery and I have seen enough of these over the last few days so I didn't go inside, but the outside is worth a look as it has been well looked after""], ""pos"": [""Cool place with great craft beer, we stayed there till our hotel was ready, checked in, and then went right back to Maloney's station""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC630>
67,KBS On,Sights & Landmarks,,,37.525582299999996,126.9164588,1.0,[],,0.0,"{""neg"": [""We enjoyed our time there!I'm a fan of KBS Korean dramas however I find this KBS On Experience Hall to be just average"", ""KBS broadcasting company has an interactive areas where visitors are allowed""], ""pos"": [""I, myself found the news 9 presenter experience to be the most interesting"", ""Learn and see the history of broadcasting, high-tech virtual studio, cartoon dubbing corner, mini broadcasting museum, news 9 presenter experience and so much more"", ""There are many staged areas and we had the most fun in front of the blue screen""]}",
68,An Jung-geun Memorial Hall,Museums,,,37.580642,126.984066,1.0,[],,0.0,,
69,Sebitseom,Nature & Parks,,"683, Olympic-daero, Seocho-gu, Seoul 06500 South Korea",37.544405600000005,126.911624,3.0,"[""shuttle bus"", ""easy to navigate"", ""walk around""]",,0.0,"{""neg"": [""It's quite a long walk from the subway, though"", ""There must be a bus stop somewhere near""], ""pos"": [""It's a great way to see some cultural scenery and fascinating architecture"", ""would highly recommend We toured Sevit immediately upon arrival from Incheon International Airport"", ""My girlfriend also loved it""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC400>
70,Gyeongui line forest,Nature & Parks,,,37.471217200000005,127.03673500000001,0.0,"[""restaurants""]",,0.0,"{""neg"": [""The space is quite large and cozy."", ""We brought our own mat."", ""Gyeongui line forest park is formed by a few parts and I visited the park in Yeonnam dong (???"", ""Around this area, there are many take-away food selling such as steaks, pizza, fries and more!""], ""pos"": [""Occasional shows and performances are also common."", ""Bet it gets really busy in summerAnd delightful walk"", ""so people can just buy food and snacks easily and enjoy their picnic."", ""Tourists and locals can enjoy the greenery and urban culture of the park."", ""The environment is very comfortable and romantic.""]}",
71,Amore Pacific Museum of Art,Museums,,,37.568698600000005,127.00766599999999,1.0,[],,0.0,"{""neg"": [], ""pos"": [""Great exhibition in August (Kruger)""]}",
72,Baek In-je's House,Sights & Landmarks,,,37.57238220000001,127.00886499999999,1.0,[],,0.0,"{""neg"": [""While we were there one of the site attendants told us that this house was featured in the movie 'Assassination'"", ""It was nice to see what the traditional house looked like with all the furniture""], ""pos"": [""The enlarged men's quarters features a 'living room' with beautiful glass doors designed for entertaining visitors and discussing business and politics"", ""It was built by a rich bank president, then lived in by a publisher, a surgeon and lastly the surgeon's widow until she was 103""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAFC1D0>
73,Jeoldusan Martyrs' Shrine,Museums,,,37.4982493,127.02701499999999,0.0,"[""walk around"", ""restaurants"", ""easy to navigate""]",,0.0,"{""neg"": [], ""pos"": [""That changed today when I discovered an 'anti-foreign' monument stating that Westerners are barbarians and (local) people should do everything to avoid them and their culture"", ""This used to be one of my favourite places to go back to or just take a walk at and I thought it was really nice that they wanted to honor the memory of the Catholic missionaries""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF7CF8>
74,Yangjae Citizens' Park,Nature & Parks,,,37.5555968,127.111231,2.0,[],,0.0,,
75,L’atelier,Museums,,"20, Jangchungdan-ro 13-gil, Jung-gu 11F, Hyundai City Tower, Seoul 04563 South Korea",37.47867129999999,126.886496,3.0,[],,0.0,,
76,Dongdaemun Seonggwak Park,Nature & Parks,,,37.57238220000001,127.0088652,1.0,"[""great view""]",,0.0,"{""neg"": [], ""pos"": [""Just passed the museum in the park we observed a shady children's playground with a few pieces of outdoor equipment"", ""Bring your coffee with you and relax in the pagoda then when you're done climb along the wall to the museum and on your way enjoy the beautiful views of the city and mountains"", ""I really loved the park and highly recommend visiting""]}",
77,Seocho Tourist Information Center,Traveler Resources,,"1318-7, Seocho-dong, Seocho-gu, Seoul South Korea",37.580657099999996,127.00748300000001,1.0,"[""The Best"", ""Very Helpful""]","{""5"":100.0,""1"":0.0,""2"":0.0,""3"":0.0,""4"":0.0,""avg"":5.0,""count"":21.0}",1.0,"{""neg"": [], ""pos"": [""We only stopped by with a quick question about the Gangnam photo spot for our teenage daughter and were bowled over by the friendliness and helpfulness of the staff"",""It is so amazing experience"", ""The people were very helpful and friendly"", ""What a random but totally enjoyable experience!The place was really nice, and the people are super helpful, and happy""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF7DD8>
78,Paradise Casino Walkerhill,Casinos & Gambling,,,37.5730037,127.02561399999999,1.0,"[""shuttle bus"", ""easy to navigate""]",,0.0,"{""neg"": [""I guess its better than nothing, but I will not be going back"", ""You have to be a foreigner to come here, so bring your passport""], ""pos"": [""Don't know if I will ever go back to Korea, but will go back here if I do"", ""The dealers are super friendly, they give you nonstop beverage service with a wide variety of drinks, including alcohol"", ""I could make a living playing here""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF7B38>
79,Mario outlet,Shopping,,,37.5767,126.93783,3.0,"[""expensive"", ""restaurants""]",,0.0,"{""neg"": [""Neighbourhood is boring and out of the way to boot"", ""Price also was not outlet price""], ""pos"": [""Brands are mid-range or parochial, prices are not impressive and it is comparable in both price and selection to the Hyundai department store across the street"", ""many sales which can bring clothes down to $6/7 (when I went) "", ""It\u2019s my first visit""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF7AC8>
80,Daelim Museum,Museums,,,37.523912100000004,127.035591,0.0,"[""a few hours"", ""crowded""]",,0.0,"{""neg"": [], ""pos"": [""The production standards of the exhibits are excellent"", ""Don't miss the lovely \""Cafe & Concept Store\"" at our right hand as you exit the museum (not the \""Art Cafe Space\"" on the left hand, next to the tickets office)"", ""I loved the energy of the exhibitions at Daelim Museum in Seoul Korea""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF7A58>
81,Naksan Public Art,Sights & Landmarks,,,37.570173499999996,126.98565,1.0,"[""a few hours""]",,0.0,"{""neg"": [""If you have much time in Seoul, maybe you can visit here for some sightseeing""], ""pos"": [""I came here because I found many interestin reviews about this place having many good spots for photo taking"", ""I'm amazed on how those art works put places in this village"", ""I admired the photos showing the red fish on the steps but unfortunately, it had been washed away by the rain and snow""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF79E8>
82,Seoul Folk Flea Market,Shopping,,,37.56572,127.007047,1.0,"[""a few hours"", ""restaurants"", ""walk around"", ""easy to navigate""]","{""3"":32.0,""4"":23.0,""2"":18.0,""5"":18.0,""1"":9.0,""avg"":3.22,""count"":22.0}",0.64,"{""neg"": [""We came with no presumptions other than the fact it was called a flea market, so we didn't expect to see anything in particular"", ""I estimate that I was there a little more than an hour and a half""], ""pos"": [""Definitely a must visit for any camera enthusiasts"", ""My limitations, concerning fragile items were 2 packings and 3 flights in the coming days"", ""To give a small indication of what can be found, while still in the market I sent several photos to a friend who collects antique clocks""]}",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x1994AAF7978>
83,Seodaemun Museum of Natural History,Museums,,,37.5101935,127.058582,2.0,"[""a few hours"", ""reasonable"", ""easy to navigate""]",,0.0,"{""neg"": [""The museum is not large enough to get lost in, so you don't need to pick up the offered brochures unless you want a keepsake of your trip"", ""(I'm perfectly fine with those myself"", ""This museum is tucked away and hidden from regular traffic, but don't expect that to mean it'll be empty""], ""pos"": [""The adult fee is a reasonable 3,000 won"", ""The app for the mobile so good for kids!If yours kids likes Dinos is super fun"", ""There are lockers on the main floor for you to store bags or coats""]}",
84,Dosan Neighborhood Park,Nature & Parks,,,37.5712378,126.96816799999999,1.0,"[""restaurants""]",,0.0,"{""neg"": [], ""pos"": [""There are excellent clean public toilets"", ""I performed DoSan Tul at this location to honour his life under his watch"", ""There are signs in English and Korean, rocks with carved writing, all telling his story""]}",
